datetime,open,high,low,close,volume,dif,dea,macd
2017/1/3,3105.3085,3136.4558,3105.3085,3135.9208,14156718700,0,0,0
2017/1/4,3133.7873,3160.1029,3130.1145,3158.794,16786085000,0.559804247,0.311002359,0.497603775
2017/1/5,3157.9063,3168.5021,3154.281,3165.4109,17472764500,1.204046431,0.677004028,1.054084806
2017/1/6,3163.7761,3172.0347,3153.0253,3154.321,18370896600,1.440986506,0.935805681,1.010361651
2017/1/9,3148.5317,3173.136,3147.7351,3171.2362,17171407500,1.514349557,1.107909404,0.812880307
2017/1/10,3167.5701,3174.5781,3157.3322,3161.6713,17975921600,1.749269729,1.281753711,0.935032035
2017/1/11,3156.6856,3167.0288,3136.2667,3136.7535,17836222100,1.140244966,1.245941623,-0.211393314
2017/1/12,3133.6015,3144.9699,3115.9787,3119.2886,14888924000,-0.272086742,0.88113086,-2.306435204
2017/1/13,3116.0827,3130.5146,3102.1628,3112.7644,15627421400,-1.894834449,0.239869102,-4.269407102
2017/1/16,3104.4924,3105.1423,3044.2912,3103.428,25788599600,-4.359840262,-0.790732808,-7.138214908
2017/1/17,3087.0295,3108.9072,3072.3384,3108.7746,13615786100,-5.817623151,-1.890587692,-7.854070918
2017/1/18,3104.7664,3123.7203,3098.5864,3113.0123,13178012800,-5.941596018,-2.760574387,-6.362043261
2017/1/19,3104.9715,3115.7778,3094.0055,3101.2992,12385142000,-6.294092396,-3.508389563,-5.571405666
2017/1/20,3095.8185,3125.6599,3095.2147,3123.1389,12236677700,-6.13167305,-4.057182426,-4.148981248
2017/1/23,3125.4209,3145.8411,3125.4209,3136.7748,13266039200,-4.541975053,-4.157676782,-0.768596541
2017/1/24,3134.5921,3149.5312,3131.2181,3142.5533,12597388100,-2.908110349,-3.900525326,1.984829952
2017/1/25,3137.6462,3151.4723,3133.1911,3149.5547,11207382700,-1.40984573,-3.390913979,3.962136498
2017/1/26,3149.2167,3163.1041,3148.9083,3159.166,11387677200,0.519855393,-2.594411593,6.228533973
2017/2/3,3160.0816,3162.6771,3136.013,3140.17,9222473600,1.652473379,-1.732614798,6.770176354
2017/2/6,3143.0931,3158.8433,3135.3869,3156.9838,12719828300,2.429968889,-0.890387845,6.640713468
2017/2/7,3154.4046,3159.544,3140.0356,3153.0878,12833744200,3.212688029,-0.062133371,6.5496428
2017/2/8,3148.086,3167.4465,3132.0333,3166.9818,14492018700,3.905756033,0.737343609,6.336824849
2017/2/9,3164.6875,3186.838,3162.5744,3183.1794,19164032700,5.802115619,1.756312944,8.09160535
2017/2/10,3183.0069,3205.049,3182.8021,3196.699,23934891300,8.414336102,3.094235737,10.64020073
2017/2/13,3198.9946,3219.4072,3198.9946,3216.8394,22019150800,11.50539229,4.782846439,13.44509171
2017/2/14,3216.137,3219.4047,3205.2853,3217.928,18879808800,14.20720215,6.673431525,15.06754126
2017/2/15,3215.4639,3235.9977,3206.5606,3212.9857,24150770600,16.36340714,8.61612379,15.4945667
2017/2/16,3210.3567,3230.2754,3207.7852,3229.6184,21695594200,17.97957279,10.49244292,14.97425974
2017/2/17,3227.7073,3238.3959,3199.4248,3202.0756,22622817700,18.84346417,12.16523569,13.35645696
2017/2/20,3198.9633,3241.458,3198.9633,3239.9613,23215209600,19.51237821,13.63648551,11.7517854
2017/2/21,3242.2226,3254.3355,3239.8775,3253.3257,21167306600,21.82761707,15.27633585,13.10256243
2017/2/22,3252.6898,3261.3808,3243.8398,3261.2184,20745377600,23.92454876,17.00734989,13.83439775
2017/2/23,3258.8319,3264.0819,3236.3549,3251.375,20917980000,25.13007729,18.6329257,12.99430319
2017/2/24,3246.8603,3253.9556,3233.5348,3253.4327,18640636200,25.35710945,19.97844471,10.75732949
